r1,r2,a1,b1,a2,b2,a3,b3,a4,b4,ratio
1859,33750,13,15,13,10,11,15,1,15,0.05508148148148148
20,363,10,11,10,11,1,15,0,0,0.05509641873278237
27,490,9,10,9,7,5,7,1,15,0.05510204081632653
91,1650,13,11,7,10,1,15,0,0,0.05515151515151515
484,8775,11,13,11,10,8,9,1,15,0.055156695156695155
143,2592,13,12,5,6,11,12,1,15,0.055169753086419755
28,507,14,13,10,13,1,15,0,0,0.055226824457593686
243,4400,9,8,9,10,9,11,1,15,0.05522727272727273
234,4235,13,14,12,11,9,11,1,15,0.05525383707201889
176,3185,8,7,11,14,12,13,1,15,0.05525902668759811
65,1176,15,14,5,6,13,14,1,15,0.055272108843537414
539,9750,14,13,11,10,7,10,1,15,0.055282051282051284
637,11520,13,12,7,8,7,8,1,15,0.05529513888888889
112,2025,8,9,14,15,1,15,0,0,0.055308641975308645
18,325,9,10,12,13,1,15,0,0,0.055384615384615386
121,2184,15,14,11,13,11,12,1,15,0.0554029304029304
64,1155,8,7,8,11,1,15,0,0,0.05541125541125541
686,12375,14,15,14,11,7,10,1,15,0.05543434343434343
539,9720,7,6,7,9,11,12,1,15,0.055452674897119344
104,1875,6,5,13,15,4,5,1,15,0.055466666666666664
1573,28350,13,15,11,9,11,14,1,15,0.05548500881834215
231,4160,9,8,11,13,7,8,1,15,0.05552884615384615
168,3025,9,11,14,11,4,5,1,15,0.05553719008264463
1,18,5,6,1,15,0,0,0,0,0.05555555555555555
286,5145,8,7,11,14,13,14,1,15,0.05558794946550048
1001,18000,13,12,11,10,7,10,1,15,0.05561111111111111
338,6075,8,9,13,12,13,15,1,15,0.05563786008230453
30,539,15,14,12,11,5,7,1,15,0.055658627087198514
49,880,9,11,7,6,7,8,1,15,0.05568181818181818
847,15210,14,13,11,12,11,13,1,15,0.0556870479947403
182,3267,13,11,7,9,10,11,1,15,0.05570860116314662
176,3159,8,9,10,9,11,13,1,15,0.05571383349161127
39,700,9,10,13,14,1,15,0,0,0.055714285714285716
1694,30375,14,15,11,9,11,15,1,15,0.05576954732510288
27,484,9,11,15,11,3,4,1,15,0.05578512396694215
66,1183,15,14,11,13,12,13,1,15,0.055790363482671176
98,1755,14,13,7,9,1,15,0,0,0.05584045584045584
363,6500,11,13,11,10,9,10,1,15,0.055846153846153844
169,3025,13,11,13,15,9,11,1,15,0.05586776859504132
88,1575,8,7,11,15,1,15,0,0,0.05587301587301587
169,3024,13,12,5,6,13,14,1,15,0.05588624338624339
8,143,12,13,10,11,1,15,0,0,0.055944055944055944
96,1715,6,7,8,7,6,7,1,15,0.05597667638483965
7,125,14,15,9,10,1,15,0,0,0.056
121,2160,11,12,11,12,1,15,0,0,0.056018518518518516
416,7425,8,9,13,11,4,5,1,15,0.05602693602693603
616,10985,14,13,11,13,12,13,1,15,0.056076467910787436
35,624,15,13,5,6,7,8,1,15,0.05608974358974359
224,3993,10,11,14,11,8,11,1,15,0.05609817180065114
108,1925,9,10,9,7,8,11,1,15,0.05610389610389611
50,891,5,6,10,9,10,11,1,15,0.05611672278338945
11,196,15,14,11,14,1,15,0,0,0.05612244897959184
539,9600,11,10,7,8,7,8,1,15,0.05614583333333333
91,1620,13,12,7,9,1,15,0,0,0.05617283950617284
1568,27885,14,13,14,13,8,11,1,15,0.05623094853864084
9,160,9,8,3,4,1,15,0,0,0.05625
128,2275,4,5,8,7,12,13,1,15,0.056263736263736264
13,231,13,14,10,11,1,15,0,0,0.05627705627705628
616,10935,8,9,11,9,7,9,1,15,0.056332876085962505
169,3000,13,15,13,10,3,4,1,15,0.05633333333333333
273,4840,13,11,7,8,9,11,1,15,0.05640495867768595
11,195,11,13,1,15,0,0,0,0,0.05641025641025641
32,567,8,9,4,3,5,7,1,15,0.0564373897707231
343,6075,7,6,7,9,14,15,1,15,0.05646090534979424
